token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
66645,ADANIENT26JUN252720CE,ADANIENT,26JUN2025,272000.000000,300,OPTSTK,NFO,5.000000
59452,ADANIENT26JUN252580PE,ADANIENT,26JUN2025,258000.000000,300,OPTSTK,NFO,5.000000
59428,ADANIENT26JUN252140PE,ADANIENT,26JUN2025,214000.000000,300,OPTSTK,NFO,5.000000
59556,ADANIENT31JUL252320PE,ADANIENT,31JUL2025,232000.000000,300,OPTSTK,NFO,5.000000
59520,ADANIENT31JUL252000CE,ADANIENT,31JUL2025,200000.000000,300,OPTSTK,NFO,5.000000
59595,ADANIENT31JUL252520PE,ADANIENT,31JUL2025,252000.000000,300,OPTSTK,NFO,5.000000
59592,ADANIENT31JUL252520CE,ADANIENT,31JUL2025,252000.000000,300,OPTSTK,NFO,5.000000
57141,ADANIENT29MAY25FUT,ADANIENT,29MAY2025,-1.000000,300,FUTSTK,NFO,10.000000
64486,ADANIENT29MAY251920CE,ADANIENT,29MAY2025,192000.000000,300,OPTSTK,NFO,5.000000
64502,ADANIENT29MAY252240CE,ADANIENT,29MAY2025,224000.000000,300,OPTSTK,NFO,5.000000
64513,ADANIENT29MAY252440PE,ADANIENT,29MAY2025,244000.000000,300,OPTSTK,NFO,5.000000
64517,ADANIENT29MAY252520PE,ADANIENT,29MAY2025,252000.000000,300,OPTSTK,NFO,5.000000
66397,ADANIENT29MAY252700PE,ADANIENT,29MAY2025,270000.000000,300,OPTSTK,NFO,5.000000
66403,ADANIENT29MAY252780PE,ADANIENT,29MAY2025,278000.000000,300,OPTSTK,NFO,5.000000
66515,ADANIENT26JUN252200PE,ADANIENT,26JUN2025,220000.000000,300,OPTSTK,NFO,5.000000
66518,ADANIENT26JUN252280CE,ADANIENT,26JUN2025,228000.000000,300,OPTSTK,NFO,5.000000
59433,ADANIENT26JUN252260CE,ADANIENT,26JUN2025,226000.000000,300,OPTSTK,NFO,5.000000
59430,ADANIENT26JUN252180PE,ADANIENT,26JUN2025,218000.000000,300,OPTSTK,NFO,5.000000
59441,ADANIENT26JUN252420CE,ADANIENT,26JUN2025,242000.000000,300,OPTSTK,NFO,5.000000
59442,ADANIENT26JUN252420PE,ADANIENT,26JUN2025,242000.000000,300,OPTSTK,NFO,5.000000
59449,ADANIENT26JUN252540CE,ADANIENT,26JUN2025,254000.000000,300,OPTSTK,NFO,5.000000
59458,ADANIENT26JUN252700PE,ADANIENT,26JUN2025,270000.000000,300,OPTSTK,NFO,5.000000
59546,ADANIENT31JUL252120PE,ADANIENT,31JUL2025,212000.000000,300,OPTSTK,NFO,5.000000
59548,ADANIENT31JUL252160PE,ADANIENT,31JUL2025,216000.000000,300,OPTSTK,NFO,5.000000
59555,ADANIENT31JUL252320CE,ADANIENT,31JUL2025,232000.000000,300,OPTSTK,NFO,5.000000
59591,ADANIENT31JUL252480PE,ADANIENT,31JUL2025,248000.000000,300,OPTSTK,NFO,5.000000
64487,ADANIENT29MAY251920PE,ADANIENT,29MAY2025,192000.000000,300,OPTSTK,NFO,5.000000
